영화명,장르,배우,감독,제작사,상영시간,개봉일,줄거리,url,TMDB 키워드,Gemini 키워드,국가,실관람객 평점,네티즌 평점,네이버 관심도(찜),누적 관객수,온라인 판매실적(당월),온라인 판매실적(익월),온라인 판매실적(익익월),매력도,유사작,경쟁작,예측 매력도
수퍼 소닉2,"애니메이션, 액션, 어드벤처, 코미디, 가족, 판타지, SF","제임스 마스던, 짐 캐리, 벤 슈왈츠, 이드리스 엘바, 티카 섬터",제프 파울러,"파라마운트 픽쳐스, 롯데컬처웍스(주)롯데엔터테인먼트, 롯데컬처웍스(주)롯데엔터테인먼트",122.0,20220406.0,,,,"가볍고 유쾌한,현대,가족",미국,7.741,8.65,1013,31만,1099,1029,485,2613,"수퍼 소닉3, 동화지만 청불입니다, 사흘, 히트맨, 히트맨2",,4289.8
수퍼 소닉3,애니메이션,"짐 캐리, 벤 슈왈츠, 제임스 마스던, 티카 섬터, 이드리스 엘바, 키아누 리브스",제프 파울러,"파라마운트 픽쳐스, 롯데컬처웍스(주)롯데엔터테인먼트, 롯데컬처웍스(주)롯데엔터테인먼트",109.0,20250101.0,,,,"가볍고 유쾌한,현대,가족",미국,8.151,9.16,1330,36만,1811,36411,9467,47689,"수퍼 소닉2, 동화지만 청불입니다, 사흘, 히트맨, 히트맨2","시빌 워: 분열의 시대, 뽀로로 극장판 바닷속 대모험, 수퍼 소닉, 동화지만 청불입니다",47617.38
슈퍼 마리오 브라더스,"애니메이션, 어드벤처, 코미디","크리스 프랫, 안야 테일러 조이, 잭 블랙, 찰리 데이",,"유니버설픽쳐스인터내셔널 코리아(유), 유니버설픽쳐스인터내셔널 코리아(유)",92.0,20230426.0,따단-딴-따단-딴 ♫ 전 세계를 열광시킬 올 타임 슈퍼 어드벤처의 등장! 뉴욕의 평범한 배관공 형제 '마리오'와 ‘루이지’는 배수관 고장으로 위기에 빠진 도시를 구하려다 미스터리한 초록색 파이프 안으로 빨려 들어가게 된다. 파이프를 통해 새로운 세상으로 차원 이동하게 된 형제. 형 '마리오'는 뛰어난 리더십을 지닌 '피치'가 통치하는 버섯왕국에 도착하지만 동생 '루이지'는 빌런 '쿠파'가 있는 다크랜드로 떨어지며 납치를 당하고 ‘마리오’는 동생을 구하기 위해 ‘피치’와 ‘키노피오’의 도움을 받아 '쿠파'에 맞서기로 결심한다. 그러나 슈퍼스타로 세상을 지배하려는 그의 강력한 힘 앞에 이들은 예기치 못한 위험에 빠지게 되는데...!,https://image.tmdb.org/t/p/w500/jt1GlLLvkWL2m83VX8I1qsDR187.jpg,"gorilla, plumber, villain, anthropomorphism, magic mushroom, based on video game, toad, aftercreditsstinger, duringcreditsstinger, damsel in distress, piano, brother brother relationship, illumination, evil king","가볍고 유쾌한,판타지 세계,우정",미국,8.351,9.04,4124,239만,4841,2246,1394,8481,"극장판 도라에몽: 진구의 지구 교향곡, 뽀로로 극장판 바닷속 대모험, A MINECRAFT MOVIE 마인크래프트 무비, 트롤: 월드 투어, 뽀로로 극장판 슈퍼스타 대모험",,45665.67
슈퍼 배드,"애니메이션, 액션, 어드벤처, 코미디","스티브 카렐, 크리스틴 위그, 미란다 코스그로브, 스티브 쿠건, 피에르 꼬팽",크리스 리노드,"유니버설픽쳐스인터내셔널 코리아(유), 유니버설픽쳐스인터내셔널 코리아(유)",93.0,20240724.0,"슈트-업 하고 악당 전담 처리반 AVL이 된 에이전트 미니언즈와 미니언즈 만큼 귀여운 그루 주니어가 태어나면서 더욱 완벽해진 그루 패밀리. 이들 앞에 과거 그루의 고등학교 동창이자 그에게 체포당했던 빌런 맥심이 등장하고, 오직 그루를 향한 복수심에 불타올라 탈옥까지 감행한 맥심은 그루 패밀리의 뒤를 바짝 추격하며 위협을 가하기 시작하는데... 과연 에이전트 미니언즈와 그루 패밀리는 맥심을 막아낼 수 있을까?",https://image.tmdb.org/t/p/w500/vZmCFVff9JySHTUp9zbYUIAcxzc.jpg,"superhero, villain, sequel, super villain, aftercreditsstinger, duringcreditsstinger, kids, calm, illumination","유머러스한,도시,가족",미국,9.001,,785,,304,339,104,747,"보스 베이비 2, 나 홀로 집에 2, 신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~, 슈퍼배드, 필사의 추격","명탐정 코난: 100만 달러의 펜타그램, 데드풀과 울버린, 슈퍼배드, 파일럿",12986.275
슈퍼배드,"애니메이션, 액션, 어드벤처, 코미디","스티브 카렐, 크리스틴 위그, 미란다 코스그로브, 스티브 쿠건, 피에르 꼬팽",크리스 리노드,"유니버설픽쳐스인터내셔널 코리아(유), 유니버설픽쳐스인터내셔널 코리아(유)",93.0,20240724.0,"슈트-업 하고 악당 전담 처리반 AVL이 된 에이전트 미니언즈와 미니언즈 만큼 귀여운 그루 주니어가 태어나면서 더욱 완벽해진 그루 패밀리. 이들 앞에 과거 그루의 고등학교 동창이자 그에게 체포당했던 빌런 맥심이 등장하고, 오직 그루를 향한 복수심에 불타올라 탈옥까지 감행한 맥심은 그루 패밀리의 뒤를 바짝 추격하며 위협을 가하기 시작하는데... 과연 에이전트 미니언즈와 그루 패밀리는 맥심을 막아낼 수 있을까?",https://image.tmdb.org/t/p/w500/vZmCFVff9JySHTUp9zbYUIAcxzc.jpg,"superhero, villain, sequel, super villain, aftercreditsstinger, duringcreditsstinger, kids, calm, illumination","유머러스한,도시,가족",미국,9.001,9.0,785,104만,15400,35776,9665,60841,"보스 베이비 2, 나 홀로 집에 2, 신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~, 슈퍼 배드, 필사의 추격","명탐정 코난: 100만 달러의 펜타그램, 데드풀과 울버린, 슈퍼 배드, 파일럿",55158.445
스즈메의 문단속,애니메이션,"하라 나노카, 마츠무라 호쿠토",신카이 마코토,"(주)쇼박스, (주)미디어캐슬, (주)로커스",121.0,20230308.0,"“이 근처에 폐허 없니? 문을 찾고 있어” 규슈의 한적한 마을에 살고 있는 소녀 ‘스즈메’는 문을 찾아 여행 중인 청년 ‘소타’를 만난다. 그의 뒤를 쫓아 산속 폐허에서 발견한 낡은 문. ‘스즈메’가 무언가에 이끌리듯 문을 열자 마을에 재난의 위기가 닥쳐오고 가문 대대로 문 너머의 재난을 봉인하는 ‘소타’를 도와 간신히 문을 닫는다. “닫아야만 하잖아요, 여기를!” 재난을 막았다는 안도감도 잠시, 수수께끼의 고양이 ‘다이진’이 나타나 ‘소타’를 의자로 바꿔 버리고 일본 각지의 폐허에 재난을 부르는 문이 열리기 시작하자 ‘스즈메’는 의자가 된 ‘소타’와 함께 재난을 막기 위한 여정에 나선다. “꿈이 아니었어” 규슈, 시코쿠, 고베, 도쿄 재난을 막기 위해 일본 전역을 돌며 필사적으로 문을 닫아가던 중 어릴 적 고향에 닿은 ‘스즈메’는 잊고 있던 진실과 마주하게 되는데…",https://image.tmdb.org/t/p/w500/95cnAy1nqjoEev1YkaXrSf0NDa1.jpg,"magic, door, natural disaster, calamity, travel, teenage girl, female protagonist, shrine, supernatural creature, enviromental, journey, anime, adventure","희망적인,시골,슬픔",일본,8.111,8.13,23630,558만,20910,13461,9066,43437,"스즈메의 문단속: 다녀왔어, 핸섬가이즈, 원정빌라, 마녀(魔女) Part2, 쥬라기 월드: 폴른 킹덤",대외비,120489.27
스즈메의 문단속: 다녀왔어,애니메이션,"하라 나노카, 마츠무라 호쿠토",신카이 마코토,"(주)쇼박스, (주)미디어캐슬, (주)로커스",121.0,20240110.0,,,"magic, door, natural disaster, calamity, travel, teenage girl, female protagonist, shrine, supernatural creature, enviromental, journey, anime, adventure","희망적인,시골,슬픔",일본,8.431,7.72,1646,4.8만,328,2953,1098,4379,"스즈메의 문단속, 핸섬가이즈, 원정빌라, 마녀(魔女) Part2, 쥬라기 월드: 폴른 킹덤",외계+인 2부,14631.205
스트리밍,스릴러,"강하늘, 하서윤, 하경, 하현수, 한재영, 김기두, 이현후, 박태산, 송덕호, 이도은, 이소율, 이한율, 류연석, 윤용식, 이중곤, 윤지수, 추석영, 임현수, 김요한, 한성연, 고수진, 원우, 방효선, 하현정, 강영준, 김태영, 백민현",조장호,"베리굿스튜디오(주), 롯데컬처웍스(주)롯데엔터테인먼트, 롯데컬처웍스(주)롯데엔터테인먼트",91.0,20250321.0,"대한민국에서 가장 핫한 구독자 수 1위의 범죄 채널 스트리머 우상. 오직 1위만이 후원금 전부를 독차지하는 스트리밍 플랫폼 왜그에서 미제 범죄 사건을 분석하며 최고의 인기를 달리던 중, 논란에 휘말리며 한순간 나락으로 떨어진다. 우상은 어떻게든 1위를 되찾고자 화제의 중심에 있던 옷자락 연쇄살인사건의 범인 추적 과정을 실시간으로 방송하기 시작하고, 하나 둘 단서를 쫓으며 연쇄살인범의 실체에 다가간다. 그러나 연쇄살인범이 자신의 방송을 보고 있다는 것을 알게 되며, 우상의 방송은 생각하지 못한 방향으로 흘러가는데…",https://image.tmdb.org/t/p/w500/yyFYasuBuHqS4EoaNmbLhGdvr80.jpg,"found footage, youtuber","서스펜스 있는,도시,범죄",한국,5.861,2.96,3442,10만,8390,6666,1454,16510,"그녀가 죽었다, 설계자, 명탐정 코난: 100만 달러의 펜타그램, 타겟, 야당","블랙 백, 컴패니언, 플로우, 블랙 크록",32183.89
시민덕희,드라마,"라미란, 공명, 염혜란, 박병은, 장윤주, 이무생, 안은진, 윤희락, 김율호",박영주,"(주)씨제스스튜디오, 페이지원필름(주), (주)쇼박스, (주)쇼박스, (사)한국농아인협회, 한국시각장애인연합회",113.0,20240124.0,"세탁소 화재로 인해 대출상품을 알아보던 생활력 만렙 덕희에게 어느 날, 거래은행의 손대리가 합리적인 대출상품을 제안하겠다며 전화를 걸어온다. 대출에 필요하다며 이런저런 수수료를 요구한 손대리에게 돈을 보낸 덕희는 이 모든 과정이 보이스피싱이었음을 뒤늦게 인지하고 충격에 빠진다. 전 재산을 잃고 아이들과 거리로 나앉게 생긴 덕희에게 어느 날 손대리가 다시 전화를 걸어오는데… 이번엔 살려달라는 전화다! 경찰도 포기한 사건, 덕희는 손대리도 구출하고 잃어버린 돈도 찾겠다는 일념으로 필살기 하나씩 장착한 직장 동료들과 함께 중국 칭다오로 직접 날아간다.",https://image.tmdb.org/t/p/w500/hu4nI6znjpdLqcq2SLfLRc3CJOQ.jpg,"china, fraud, based on true story, financial fraud, phishing, qingdao, china","희망적인,현대,정의",한국,8.281,8.76,6543,171만,94311,52370,34295,180976,"주토피아, 용감한 시민, 베테랑2, 열혈검사, 영웅",웡카,138890.28
시빌 워: 분열의 시대,"액션, 전쟁, 드라마","커스틴 던스트, 케일리 스패니, 와그너 모라, 스티븐 헨더슨, 제시 플레먼스, 닉 오퍼맨",알렉스 가랜드,"(주)마인드마크, (주)더쿱디스트리뷰션, (주)마인드마크, 콘텐츠웨이브(주), (주)하이스트레인저",109.0,20241231.0,"극단적 분열로 역사상 최악의 내전이 벌어진 미국. 연방 정부의 무차별 폭격과 서로를 향한 총탄이 빗발치는 상황 속에서 기자 리와 조엘, 새미 그리고 제시는 대통령을 인터뷰하기 위해 워싱턴으로 향한다. 내 편이 아니라면 바로 적이 되는 숨 막히는 현실, 이들은 전쟁의 순간을 누구보다 생생하게 마주하게 된다.",https://image.tmdb.org/t/p/w500/17aLLBfhf63QsSraVUJtaONnb6L.jpg,"superhero, based on comic, sequel, super soldier, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), angry, superhero teamup, bitter","어두운,디스토피아,전쟁",미국,8.291,7.61,1386,11만,33793,12761,3785,50339,"헝거게임: 노래하는 새와 뱀의 발라드, 존 오브 인터레스트, 혹성탈출: 종의 전쟁, 명량, 오펜하이머","뽀로로 극장판 바닷속 대모험, 수퍼 소닉, 수퍼 소닉3",37307.285
신명,"드라마, 미스터리","김규리, 안내상, 동방우, 박지서, 이주미",,"(주)열공영화제작소, (주)열공영화제작소, (주)스마일이엔티, 주식회사 블루필름웍스",117.0,20250602.0,"어린 시절, 분신사바를 시작으로 주술에 심취한 윤지희. 남자를 이용해 원하는 것을 얻을 수 있다는 사실을 깨달은 그녀는 성형으로 얼굴을 바꾸기 시작해서 이름, 학력, 신분까지 위조해 전혀 다른 삶을 살아간다. 그러던 중 권력의 맛을 본 윤지희는 마침내 대한민국을 손에 넣겠다는 야망에 사로잡히고 필요하다면 주술로 사람의 목숨조차 앗아갈 만큼 잔혹한 행보를 이어간다. 믿을 수 없는 사건들이 연이어 벌어지고, 그럴수록 그녀는 점점 목적지에 가까워진다.  한편 정현수 PD와 탐사보도 기자들은 대선 후보로 급부상한 검사 출신 정치인 김석일과 그녀를 추적하던 중 둘 사이의 수상한 연결고리에 강한 의혹을 품고 점점 더 그녀에게 가까이 다가가게 된다. 하지만 끔찍한 진실에 다가갈수록 정PD는 점점 더 위험한 그림자에 쫓기게 되는데…  과연 그는 그녀의 실체에 닿을 수 있을까?",https://image.tmdb.org/t/p/w500/7N1A0ZhfJLO9hIS92neHr6wRVyl.jpg,,"서스펜스 있는,현대,권력",한국,8.391,7.59,22653,78만,64319,16245,0,80564,"침범, 당신이 잠든 사이, 콘클라베, 브로큰, 명탐정 코난: 100만 달러의 펜타그램",드래곤 길들이기,122482.08
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,애니메이션,,오네 히토시,"(주)씨제이이엔엠, (주)씨제이이엔엠, (사)한국농아인협회, 한국시각장애인연합회",94.0,20231222.0,"어느 날, 우주에서 날아온 검은 빛과 하얀 빛이 떡잎마을을 향해 떨어진다. 평소처럼 저녁밥을 손꼽아 기다리던 짱구는 하얀 빛에 정통으로 맞게 되고 그러자 온몸에 넘치는 신비한 힘! 힘에 몸을 맡긴 채 엉덩이에 의식을 집중하자 장난감들이 붕붕 떠오른다.  한편, 검은 빛을 통해 초능력을 손에 넣은 또 다른 남자는 이 세상의 파멸을 바라며 폭주하기 시작하는데, 위기에 처한 세상을 구하기 위한 유일한 희망이 바로 짱구...!?",https://image.tmdb.org/t/p/w500/39nnJB6453mDocXqy2RGc2zZ3wY.jpg,"superhero, kindergarten, based on manga, seinen, anime, 3d animation","유머러스한,도시,가족",일본,7.921,8.63,1743,94만,29222,14790,12021,56033,"보스 베이비 2, 나 홀로 집에 2, 슈퍼배드, 슈퍼 배드, 필사의 추격","노량: 죽음의 바다, 명량, 아쿠아맨과 로스트 킹덤",45123.885
아노라,"드라마, 코미디, 멜로/로맨스","미키 매디슨, 마크 아이델스테인, 유리 보리소프, 카렌 카라굴리안, 바체 토브마샨",션 베이커,"유니버설픽쳐스인터내셔널 코리아(유), 유니버설픽쳐스인터내셔널 코리아(유)",139.0,20241106.0,"뉴욕의 스트리퍼 아노라는 자신의 바를 찾은 철부지 러시아 재벌2세 이반을 만나게 되고 충동적인 사랑을 믿고 허황된 신분 상승을 꿈꾸며 결혼식을 올리게 된다. 그러나 신데렐라 스토리를 꿈꿨던 것도 잠시, 한 번도 본 적 없는 이반의 부모님이 아들의 결혼 사실을 알게 되자 길길이 날뛰며 미국에 있는 하수인 3인방에게 둘을 잡아 혼인무효소송을 진행할 것을 지시한다. 하수인 3인이 들이닥치자 부모님이 무서워 겁에 질린 남편 이반은 아노라를 버린채 홀로 도망친다. 이반을 찾아 결혼 생활을 유지하고 싶은 아노라와 어떻게든 이반을 찾아 혼인무효소송을 시켜야만 하는 하수인 3인방의 대환장 발악이 시작된다.",https://image.tmdb.org/t/p/w500/sk2JbDCTMHk14owQPm2lryV1fca.jpg,"new year's eve, new york city, marriage, boardwalk, baptism, strip club, coney island, female protagonist, mansion, class differences, las vegas, lap dance, home invasion, drunk, brooklyn, new york city, screwball comedy, new york subway, hedonism, immaturity, city hall, exotic dancer, sex worker, naive children, female stripping, meddling parents, annulment, reflective, strip show, russian oligarch, loving, mischievous, sex, party, female rage, vegas wedding, romantic dramedy, cinderella story, depressing, apathetic, conceited, tragic, brighton beach","씁쓸한,도시,사랑/로맨스",미국,8.061,7.31,1471,7.9만,17706,2116,2069,21891,"동창회의 목적 2 (무삭제), 바이러스, 나의 사랑 나의 신부, 당신이 잠든 사이, 알라딘","아마존 활명수, 레드 원, 글래디에이터 Ⅱ",18577.12
아마존 활명수,코미디,"류승룡, 진선규, 이고르 페드로소, 루안 브룸, J.B. 올리베이라, 염혜란, 고경표",김창주,"(주)로드픽쳐스, (주)씨제이이엔엠, (주)바른손이앤에이, (주)바른손이앤에이, (사)한국농아인협회, 한국시각장애인연합회",112.0,20241030.0,"전 양궁 국가대표 메달리스트였지만 지금은 구조조정 1순위 진봉. 회사에서 준 마지막 기회를 잡기 위해 아마존으로 향한다. 죽을 고비를 넘기고 도착한 아마존. 그곳에서 만난 신이 내린 활 솜씨의 아마존 전사 3인방 시카, 이바, 왈부! 살 길을 찾았다고 생각한 진봉은 한국계 볼레도르인 통역사 빵식과 함께 활의 명수 3인방을 데리고 한국으로 향하는데... 이제 진봉의 부활은 아마존 3인방에 달려있다!",https://image.tmdb.org/t/p/w500/lldTF4hL5b4bca8PXXlvjZ8v1S3.jpg,"archery, amazon tribe","유머러스한,시골,성장",한국,6.201,6.9,4058,60만,29123,84285,0,113408,"핸섬가이즈, 파일럿, 패션왕, 슈퍼 배드, 신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~","베놈, 베놈: 라스트 댄스, 레드 원, 아노라",102348.085
아바타: 물의 길,"액션, 어드벤처, SF, 스릴러","조 샐다나, 샘 워싱턴, 시고니 위버, 스티븐 랭, 케이트 윈슬렛",제임스 카메론,"월트디즈니컴퍼니코리아 유한책임회사, 월트디즈니컴퍼니코리아 유한책임회사",192.0,20221214.0,"판도라 행성에서 제이크 설리와 네이티리가 이룬 가족이 겪게 되는 무자비한 위협과 살아남기 위해 떠나야 하는 긴 여정과 전투, 그리고 견뎌내야 할 상처에 대한 이야기를 그렸다. 살아남기 위해 설리 가족이 숲에서 바다로 터전을 옮기면서 겪게 되는 화합의 과정, 그리고 곳곳에서 도사리는 새로운 위협까지 역경 속에서 더 아름답게 펼쳐진다.",https://image.tmdb.org/t/p/w500/u2aVXft5GLBQnjzWVNda7sdDpdu.jpg,"sequel, аватар 3, аватар огонь и пепел","희망적인,판타지 세계,가족",미국,8.831,8.19,24784,1080만,1880,893,656,3429,"겨울왕국, 위시, 모아나, 모아나 2, 센과 치히로의 행방불명",,13995.045
아쿠아맨과 로스트 킹덤,"액션, 어드벤처, 판타지","제이슨 모모아, 패트릭 윌슨, 야히아 압둘 마틴 2세, 앰버 허드, 니콜 키드먼",제임스 완,"워너브러더스 코리아(주), 워너브러더스 코리아(주)",123.0,20231220.0,아틀란티스 왕국을 이끌 왕의 자리에 오른 아쿠아맨. 그 앞에 블랙 만타가 세상을 뒤흔들 강력한 지배 아이템 블랙 트라이던트를 손에 넣게 된다. 그동안 겪지 못 했던 최악의 위협 속 아쿠아맨은 블랙 만타와 손을 잡았던 이복 동생 옴 없이는 절대적 힘이 부족한 상황. 바다를 지배할 슈퍼 히어로가 세상의 판도를 바꾼다!,https://image.tmdb.org/t/p/w500/eDps1ZhI8IOlbEC7nFg6eTk4jnb.jpg,"superhero, secret society, half-brother, sequel, revenge, dysfunctional relationship, dc extended universe (dceu), ancient evil, underwater world, vengeance, brother brother relationship","긴장감 있는,판타지 세계,가족",미국,7.461,8.05,2550,87만,94420,56065,22299,172784,"고질라 X 콩: 뉴 엠파이어, 아바타: 물의 길, 겨울왕국, 레드 원, 드래곤 길들이기 2","뽀로로 극장판 슈퍼스타 대모험, 노량: 죽음의 바다, 명량, 신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~",131878.81
악마와의 토크쇼,공포(호러),"데이비드 다스트말치안, 로라 고든, 조지나 헤이그",,"주식회사 올랄라스토리, 찬란, (주)에이유앤씨",92.0,20240508.0,"1977년 핼러윈 전날 밤, 시청률을 위해서라면 일단 틀고 보는 방송국 놈들 때문에 누구도 예상하지 못한 방송사고 발생! 그리고 마침내 미국 전역을 충격에 빠트렸던 그날 밤의 생방송 악마와의 토크쇼 녹화영상이 최근에 발견됐는데… 47년간 숨겨진, 절대 생중계돼서는 안 될 최악의 토크쇼가 마침내 공개된다, 그동안 공개되지 않은 비하인드 영상과 함께!",https://image.tmdb.org/t/p/w500/5nUu9y8hQtmW4Qt5GWZZATCjFnN.jpg,"new york city, 1970s, halloween, possession, hallucination, evil, hypnotism, macabre, found footage, satanic cult, death of wife, parapsychology, magician, late-night show, supernatural horror, provocative, satanic panic, ambiguous, scathing","어두운,역사적,권력",호주,7.671,6.84,1206,10만,7862,3009,897,11768,"풍재기시, 콘클라베, 존 오브 인터레스트, 듄: 파트2, 듄","혹성탈출: 새로운 시대, 그녀가 죽었다",41897.425
알라딘,"어드벤처, 가족, 판타지","메나 마수드, 윌 스미스, 나오미 스콧",가이 리치,"월트디즈니컴퍼니코리아 유한책임회사, 월트디즈니컴퍼니코리아 유한책임회사",127.0,20190523.0,알라딘은 전광석화 같은 손놀림과 타고난 삼십육계 줄행랑을 고루 갖춘 아그라바 왕국의 좀도둑이다. 원숭이 친구 아부를 대동한 채 굶주림에 고통받는 아이들을 못 본 척하지 않는 게 그의 인간적인 매력. 어느 날 아그라바 왕국을 다스리는 술탄이 애지중지하는 딸 자스민 공주가 백성들을 살피기 위해 성 밖으로 나왔다가 빵을 훔쳤다는 누명을 쓰게 된다. 마침 그 광경을 목격한 알라딘은 자스민 공주를 위기에서 구해준다. 자스민 공주가 왕궁에서 일하는 시녀인 줄 알고 그녀를 보러 성 안에 들어간 알라딘은 재상 자파에게 붙잡히고 마는데...,https://image.tmdb.org/t/p/w500/hvoi0h5hX7cKjatXvbc3gYqT1Xw.jpg,"hero, hustler, palace, sultan, flying carpet, musical, rags to riches, romance, monkey, family, first love, based on myths, legends or folklore, genie, arabian nights, live action and animation, live action remake, hilarious, familiar","희망적인,판타지 세계,사랑/로맨스",미국,9.411,9.36,23545,1280만,886,844,677,2407,"모아나, 위시, 센과 치히로의 행방불명, 모아나 2, 라푼젤",,145616.62
야당,"범죄, 액션","강하늘, 유해진, 박해준, 류경수, 채원빈",황병국,"(주)하이브미디어코프, 메가박스중앙(주) 플러스엠 엔터테인먼트, 메가박스중앙(주) 플러스엠 엔터테인먼트",136.0,20250806.0,"누명을 쓰고 교도소에 수감된 이강수는 검사 구관희로부터 감형을 조건으로 야당을 제안받는다. 강수는 관희의 야당이 돼 마약 수사를 뒤흔들기 시작하고, 출세에 대한 야심이 가득한 관희는 굵직한 실적을 올려 탄탄대로의 승진을 거듭한다.  한편, 마약수사대 형사 오상재는 수사 과정에서 강수의 야당질로 번번이 허탕을 치고, 끈질긴 집념으로 강수와 관희의 관계를 파고든다.  마약판을 설계하는 브로커 강수, 더 높은 곳에 오르려는 관희, 마약 범죄 소탕에 모든 것을 건 상재. 세 사람은 각자 다른 이해관계로 얽히기 시작하는데…",https://image.tmdb.org/t/p/w500/22wq8xenneGDZ9K9MLIO8VchQC5.jpg,drugs,"긴장감 있는,도시,범죄",한국,8.861,8.84,11210,337만,103774,126060,7227,237061,"주차금지, 타겟, 스트리밍, 명탐정 코난: 100만 달러의 펜타그램, 설계자",,172331.085
어른 김장하,다큐멘터리,김장하,김현지,"MBC경남, (주)시네마달, (주)시네마달",104.0,20231115.0,"경남 진주의 어느 한약방, 그곳에는 60년 동안 한약방을 지킨 한약사 김장하 선생이 있다. 전 재산을 사회에 환원하고도 인터뷰 한 번 하지 않고 많은 이들을 도우면서도 자신의 옷 한 벌 허투루 사지 않는 사람. 좋은 어른을 기다리는 당신에게 김장하의 이야기가 찾아갑니다.",https://image.tmdb.org/t/p/w500/xlg7zVqAnqO9DylSClGXv7NrsDo.jpg,,"영감을 주는,현대,구원",한국,9.501,9.86,3139,4ㅁ만,129,52,67,248,"설리: 허드슨강의 기적, 사바하, 파묘, 1947 보스톤, 더 퍼스트 슬램덩크","더 와일드: 야수들의 전쟁, 헝거게임: 노래하는 새와 뱀의 발라드, 서울의 봄",12838.515
어바웃 타임,"멜로/로맨스, 코미디","레이첼 맥아담스, 도널 글리슨, 빌 나이",리차드 커티스,"유니버설픽쳐스인터내셔널 코리아(유), 유니버설픽쳐스인터내셔널 코리아(유)",123.0,20131205.0,"모태솔로 팀은 성인이 된 날, 아버지로부터 놀랄만한 가문의 비밀을 듣게 된다.  바로 시간을 되돌릴 수 있는 능력이 있다는 것!  그것이 비록 히틀러를 죽이거나 여신과 뜨거운 사랑을 할 수는 없지만,  여자친구는 만들어 줄 순 있으리..  꿈을 위해 런던으로 간 팀은 우연히 만난 사랑스러운 여인 메리에게 첫눈에 반하게 된다.  그녀의 사랑을 얻기 위해 자신의 특별한 능력을 마음껏 발휘하는 팀.  어설픈 대시, 어색한 웃음은 리와인드! 뜨거웠던 밤은 더욱 뜨겁게 리플레이!  꿈에 그리던 그녀와 매일매일 최고의 순간을 보낸다.  하지만 그와 그녀의 사랑이 완벽해질수록 팀을 둘러싼 주변 상황들은 미묘하게 엇갈리고,  예상치 못한 사건들이 여기저기 나타나기 시작하는데…  어떠한 순간을 다시 살게 된다면, 과연 완벽한 사랑을 이룰 수 있을까?",https://image.tmdb.org/t/p/w500/cLfuuK1Y5FjX1xXDrrEa9ppnKuy.jpg,"london, england, parent child relationship, time travel, family secrets, cornwall, england, family, second chance, thoughtful, time-manipulation, reflective, playful, introspective, intimate, sentimental, whimsical, adoring, appreciative, celebratory, comforting, compassionate, exuberant, hopeful, viajes en el tiempo, viaje en el tiempo","마음이 따뜻해지는,도시,가족",영국,9.251,9.2,27646,345만,560,588,734,1882,"라따뚜이, 대가족, 3일의 휴가, 릴로 & 스티치, 패딩턴: 페루에 가다!",,5681.245
어벤져스: 인피니티 워,"액션, 어드벤처, 판타지, SF","로버트 다우니 주니어, 조슈 브롤린, 마크 러팔로, 톰 히들스턴, 크리스 에반스, 크리스 헴스워스, 제레미 레너, 스칼렛 요한슨, 엘리자베스 올슨, 안소니 마키, 폴 러드, 기네스 팰트로우, 폴 베타니, 돈 치들, 베네딕트 컴버배치, 톰 홀랜드, 크리스 프랫, 조 샐다나, 카렌 길런, 브래들리 쿠퍼, 빈 디젤, 데이브 바티스타, 세바스찬 스탠, 채드윅 보스만, 코비 스멀더스, 베니시오 델 토로, 피터 딘클리지, 사무엘 L. 잭슨, 다네이 거라이라, 베네딕트 웡","조 루소, 안소니 루소","월트디즈니컴퍼니코리아 유한책임회사, 월트디즈니컴퍼니코리아 유한책임회사",149.0,20180425.0,"타노스는 6개의 인피니티 스톤을 획득해 신으로 군림하려 한다. 그것은 곧 인류의 절반을 학살해 우주의 균형을 맞추겠다는 뜻. 타노스는 닥터 스트레인지가 소유한 타임 스톤, 비전의 이마에 박혀 있는 마인드 스톤을 차지하기 위해 지구를 침략한다. 아이언맨과 스파이더맨은 가디언즈 오브 갤럭시의 멤버들과 타노스를 상대한다. 지구에선 캡틴 아메리카, 완다, 블랙 위도우, 블랙 팬서 등이 비전을 지키기 위해 뭉친다.",https://image.tmdb.org/t/p/w500/kmP6viwzcEkZeoi1LaVcQemcvZh.jpg,"new york city, superhero, shield, based on comic, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)","어두운,우주,생존",미국,9.091,8.88,12776,1123만,824,763,617,2204,"에이리언: 로물루스, 보더랜드, 베놈: 라스트 댄스, 파이널 데스티네이션 블러드라인, 혹성탈출: 새로운 시대",,14759.01
